1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,bestK,time(ms)
3444082.47794946,3039034.5207091933,3623097.1702894615,3808840.9407399697,3656791.2661996474,3758335.603598243,2877401.6809102525,2743821.3460466187,2599729.568879232,2544525.3567427583,1669945.1544215232,1696679.6222967403,1499575.8857865902,1506199.0644686935,1514286.6218201597,1441279.8941223847,1403119.7810945767,1022242.0289594206,978063.5289594206,935538.5289594206,907831.7639533521,859252.4604246984,821264.2923248411,815160.2469771779,751583.2645840861,728950.0208476838,673822.0464887329,685089.1751906322,638088.8380948559,616771.027320255,670857.5089606256,673176.303910907,649683.1125746316,623423.3244970255,525731.2864593213,510167.60677063,497484.5410020557,497042.2672946103,501031.75339535816,514943.47066915635,496633.97066915635,474504.5027955971,454306.81326679594,438478.81326679594,425165.65913713403,409941.69445154804,402369.261063826,404834.4167576803,431591.0331761406,418821.5331761406,406075.0331761406,393369.5331761406,387521.16125475086,375574.66125475086,371256.2722195679,362265.72136413463,352015.72136413463,259277.35941996606,252640.6454858808,228298.7490962593,218792.2490962593,209307.2490962593,206329.89032973748,201133.74375699577,195270.60057214688,187337.10057214688,186278.783091726,172936.6662194666,164893.86139138177,157653.86139138177,151073.44703946623,144545.94703946623,138422.44703946623,132367.44703946623,123427.02111908773,116151.37473323985,119252.62402774558,103236.75319538219,98180.25319538219,93289.75319538219,88453.25319538219,86791.36532824703,82168.86532824703,79552.02469420627,78564.39900338888,79333.09502940689,75116.54966189717,73368.32137231067,69840.82137231067,68490.4226409125,66877.44967872824,64109.44967872823,61343.44967872823,58721.44967872823,56109.94967872823,53580.94967872823,53246.15336674923,50974.46359656207,50907.75065134806,48760.75065134806,46642.75065134806,29212.36865616236,28033.47796579162,26276.97796579162,26038.531108338673,24330.531108338673,21954.407358484823,21183.58127797218,19555.58127797218,20881.303501409075,19365.01406005281,18060.376896364032,16708.876896364032,15958.348309796427,14650.348309796427,13429.348309796427,13100.343984905518,10913.341746137767,9904.841746137767,8956.841746137767,8050.841746137767,7193.841746137767,7800.442100740316,7073.102090895041,6448.933302724139,5869.370104815904,5032.80685983145,3845.497054397228,3247.453107711651,2854.453107711651,2602.4843873690766,2282.792424590064,2008.292424590064,1765.292424590064,1531.792424590064,1447.1656402730337,1193.0233648593103,1027.0233648593103,879.5233648593103,739.0233648593103,605.0233648593103,519.1215795461898,409.62157954618976,306.62157954618976,222.12157954618976,135.69164171016865,82.0,36.50000000000001,14.000000000000002,0.0,3,261
6228789.395073673,8729293.34435003,6292730.002393311,5310130.404218538,5291342.953569701,5534944.862737406,4209720.591218861,3626019.599447513,3285857.557653232,3223475.476891418,3173190.4669683613,3122413.5950319325,3037696.4918884775,1826194.9409628073,1802661.001949043,1799517.5927077767,1762733.6666827742,1716291.1666827742,1721748.6036699612,1693397.8156151627,1484842.4796111425,1086945.457813488,1044359.3543519371,1041268.1234051497,1101878.306738212,1096245.1384675575,1055850.118121234,1047318.7702348575,948043.1602938902,902967.9612145429,825356.0361688378,793926.8584768537,776314.8584768537,747016.8673903458,574461.3968713441,573549.5349936752,493119.64982746233,484616.3081736318,441854.26472016354,430643.2321562427,418831.2321562427,408670.6174331362,340730.42923257034,339687.0936935214,346512.88385211333,339780.73578935646,330436.23578935646,321112.73578935646,311913.23578935646,303734.7387679926,287239.8425957902,286896.5366908866,269449.50881714973,265686.9252500809,264885.81619536324,251808.57730440825,241252.76016756165,138739.20121184527,130890.85885154307,124446.87522303597,119350.87522303597,113907.9830261293,110682.55881476597,106022.05881476597,106276.29499053414,102535.79222275036,99695.47222221651,95829.97222221651,88996.84359168043,86681.90192786971,83369.96900205805,79977.96900205805,74182.7690336533,70899.7690336533,65957.32693676431,59757.02404669879,56148.735040417305,54979.87148616586,51830.085582681866,52581.43961245613,50149.43961245613,47763.43961245613,45377.93961245613,43168.34906970389,41151.84906970389,38473.94768437097,35384.27233296761,35820.02245411764,28782.802566714992,26629.895108273933,25126.395108273933,22331.245795163726,20965.745795163726,20313.88001881965,19160.38001881965,18031.88001881965,17452.810989224436,16321.730727365783,15310.230727365783,14558.278910247373,15834.76758262265,14866.283487927183,13613.10824620156,11687.695819431796,10913.24731157857,10858.452244571907,10186.952244571907,9553.452244571907,8940.452244571907,8401.8986629819,7900.398662981899,7418.898662981899,6968.898662981899,6519.898662981899,6371.529226192652,5947.529226192652,5536.529226192652,5144.029226192652,4628.024815259875,3901.170816630827,2936.729247690734,2730.9352548376805,2432.9352548376805,2148.4352548376805,1867.4352548376805,1624.9352548376805,1417.9352548376805,1252.4352548376805,1088.9352548376805,1144.5063590020504,1000.5063590020504,680.7876154291387,569.7876154291387,509.00243207440883,438.7523382142527,370.2523382142527,305.2523382142527,264.92922054575246,269.04695723512725,239.95865767174558,198.45865767174558,157.95865767174558,117.45865767174558,89.26629701336734,65.0,40.5,23.0,13.0,4.000000000000001,0.0,2,122
3438605.536040148,9368122.064394327,4905946.810726191,5845305.805303685,7155863.969050444,7018584.445725784,6463082.814755124,6405523.5163380485,3782425.157783412,2916612.800911456,2840120.0762948217,2835667.5374873835,2831183.9784801025,2729155.28451908,1288271.8526502133,1347280.881665187,1303843.881665187,1213876.7916700225,1166486.1165660075,1135360.7935011215,1432422.3153227759,1103109.447113816,1138943.0478956979,1166809.40101895,1135461.40101895,1111359.2287789693,1114646.5575922162,903434.2197507769,883467.1693486094,847510.7542715928,825743.3149123883,801187.5805483169,755207.6063381124,767084.815207753,721594.873660273,747192.7480482762,727832.2480482762,724722.7030302275,706125.7030302275,696726.8505506078,433137.71519830124,413443.623900454,417244.4510884139,426695.70571115083,413373.70571115083,397329.51725652243,385221.01725652243,316200.69657322543,269450.1470583249,302483.44633846043,292974.924546798,282872.6498239751,275058.5431461059,273570.2494064743,268471.73603050987,265161.40075047995,256403.90075047998,251207.4535158465,243264.4535158465,239179.74326729108,240803.56219902838,233599.06219902838,236750.7095696971,217655.4584841667,210726.9584841667,203839.4584841667,201855.68494959467,198527.73702101002,195156.67283704583,189309.67283704583,184639.85288349527,180562.11253368,174961.11253368,167975.1941882883,164813.70987178077,161093.25422970622,158386.25861761923,132670.25956762445,128406.280517788,123742.280517788,121270.18804564941,116948.68804564941,112667.18804564941,108387.68804564941,103530.98917968708,99576.98917968708,84217.83114366872,80465.83114366872,76896.33114366872,72460.49943007399,67761.90421119078,64341.40421119078,60998.90421119078,57789.40421119078,58353.22631996278,56079.952763605004,53234.952763605004,50489.952763605004,46770.70034168166,44354.20034168166,41552.40369807596,39147.40369807596,37623.032947297856,35295.532947297856,32995.532947297856,36847.167850214944,34815.667850214944,31103.76598485076,29086.26598485076,27090.26598485076,25895.742955058027,24144.242955058027,20512.17549263034,18768.17549263034,17256.17549263034,15864.17549263034,14520.17549263034,13200.67549263034,13502.250973177357,12454.835546701739,11101.074858964032,10108.574858964032,7601.076639322841,7159.26920814104,6218.423746256181,5860.95733099035,5241.45733099035,4761.994583993063,4197.994583993063,4417.115824287624,3870.6158242876236,3325.1158242876236,2998.080857688476,2670.580857688476,2375.3297012447383,2173.915042052083,2051.760635368065,1794.7606353680649,1581.6132496186094,1338.1132496186094,988.5,776.5,568.0,400.0,289.0,194.5,104.5,23.5,8.5,0.0,5,131
1.5016071830754533E7,5786414.22345362,5854262.336240808,4647863.479985787,4637888.686973727,4543876.765333911,4544441.442672925,4619691.607653187,4655340.3618818,4397372.311118959,4324904.402584213,2713002.9690761324,2651815.048917898,2465355.7684638887,2334682.3027079087,1811134.3370029624,1763266.3362035877,1777173.7179332776,1742970.182781171,931832.67769734,914428.1600981177,901326.1111317953,514066.4993675286,499614.3187406061,433057.01925216516,416377.5030186215,392763.5760505466,684966.5388843283,670265.4743278205,652522.4380847602,635062.4380847602,632829.4351168409,472970.6532990248,477581.43962870364,469870.86919952114,459804.3415640386,462326.8562352161,466615.0338760839,355159.1531329588,346179.7088200684,335616.7088200684,324575.09817183384,328872.29662030435,331458.86637876515,330941.2007364051,328288.2996406554,326942.2158963159,318074.2158963159,309667.7158963159,303819.3203807936,295995.8203807936,290078.8323810372,282552.8323810372,275039.8323810372,266524.9185803455,257591.73927977003,253772.615577023,246697.115577023,211629.5297901254,202702.93551119356,196131.93551119356,191951.68610317548,190285.5812743536,190267.79599880963,185893.90928443422,175188.90928443422,170207.90928443422,165263.40928443422,129728.7988235871,94995.14284629622,90673.64284629622,85865.67724095267,81586.67724095267,79036.68986281106,77488.4215244803,75279.73205375993,71621.23205375993,67967.73205375993,64308.071911610685,66169.9345545772,62827.934554577194,59073.92432160519,63080.13738890427,59999.63738890427,56960.63738890427,55092.69611043783,52188.19611043783,52703.546422182124,52399.478262089266,49968.478262089266,52082.4070604452,49713.4070604452,47370.9070604452,45030.4070604452,42785.4070604452,39387.16293546085,37439.16293546085,35499.66293546085,33593.66293546085,33533.96323650827,29820.19139298402,19849.72538543735,18886.68048100363,17546.18048100363,16336.152756012883,15106.652756012883,13914.652756012883,13628.544813035387,13527.979174440714,11997.184223162254,11012.684223162254,10335.411778498195,9401.411778498195,8491.911778498195,8380.728218668608,8631.610923353679,7956.622700642817,7258.122700642817,6673.362433726239,6350.916703623376,6624.731085849429,6331.293265503236,5795.793265503236,5265.793265503236,4940.029268641176,4950.971915039423,4507.971915039423,4067.9719150394235,3645.9719150394235,3248.4719150394235,2864.4719150394235,2440.9410518567397,2084.9410518567397,1777.9410518567397,1618.8396594396968,1347.8396594396968,1096.8396594396968,893.8396594396968,1033.2766217052908,863.276621705291,654.8437037641236,425.50927449909244,311.50927449909244,207.00927449909244,126.00927449909246,54.009274499092456,23.5,2.9999999999999996,0.0,0.0,2,124
4495486.567091132,4468947.64287025,4426947.945794759,4387323.394601538,3886613.9519823976,3726454.6774653676,4231013.230972577,4150304.025544375,4227081.147956153,3956971.0063134963,4066484.5683611883,3979907.03855804,3885970.431440209,1780110.0736107274,1669103.0457661084,1682702.764960888,1501218.6834333658,1382042.4005729225,1348030.6244636886,1203275.8690929962,1204723.2390908103,1204882.3339692787,1105680.0549736668,955900.1559197893,920872.6559197893,922831.2260421814,900715.7238126755,911402.8749101328,646195.5825932239,622786.327306864,621403.1030205799,578982.5797788292,609874.483113749,583886.4802552166,561827.9802552166,464636.88932329847,435657.10144231474,483200.5281031521,478278.99125131336,462907.2205639431,446762.2205639431,432263.2205639431,417828.2205639431,407920.60181584046,377147.0344756101,360453.87673985667,364984.4660732852,321126.95313016535,310920.3894479965,300950.9746974623,300349.3628629938,290319.6164210692,290667.31762238196,275215.72430813126,265493.22430813126,256829.91507770176,252370.62289141942,243506.3781459463,235202.3781459463,227220.3781459463,202109.33908395597,201718.91867877523,192953.07626648486,186551.76365132176,186902.7977532306,180924.62685908587,174111.09440706522,168972.79542204292,170364.81793431472,166255.03175493592,160819.53175493592,157811.90897269716,152602.40897269716,153643.29409321328,138116.6949219591,133747.44635881457,129137.5126413928,124477.5126413928,121680.61928309902,117133.61928309902,112933.08846393457,110058.16328319228,106409.69442263248,102143.60341958997,99121.16472415933,96793.0018499881,93911.90716494135,90100.90716494135,86318.90716494135,82716.90716494135,79820.54344762645,76429.54344762645,73088.04344762645,69765.54344762645,66463.04344762645,63281.04344762645,61916.22123188083,58968.72123188083,55581.592133747945,52800.592133747945,50110.092133747945,48902.922539429775,48154.42352547487,45703.42352547487,45794.551948379456,44351.50098685317,42119.866780506825,39774.866780506825,38188.470440224926,36181.970440224926,34200.470440224926,32268.970440224923,32240.24980077688,30456.74980077688,29551.877135432173,27847.877135432173,26153.877135432173,24483.877135432173,22859.877135432173,21244.877135432173,19710.377135432173,18685.442951886325,17351.442951886325,17514.61212451696,16132.488072070711,14869.988072070711,14072.090580528218,13251.453162053465,12133.453162053465,11069.453162053465,9529.283349919357,8536.283349919357,7548.283349919356,6652.783349919356,5790.285102517843,5063.785102517843,4548.242646446656,3897.242646446656,3270.742646446656,2947.099495667746,2452.099495667746,1999.099495667746,1622.599495667746,1248.599495667746,888.5994956677459,559.599495667746,327.5,150.0,74.49999999999999,0.0,4,124
9090369.270759225,7063272.861915023,6653049.211741048,6793138.99054245,4736720.520273609,4680105.456423126,4779838.206949223,4620368.110987749,4262842.589160537,1925136.9961734875,1828305.3231523936,1785979.3946297078,1414769.5810667297,1151330.712219572,1162607.9068014794,1156887.8607749487,1137143.8731962277,1147115.106361483,518662.4691670311,499676.4691670311,496697.394886824,479367.394886824,459296.32296494837,449327.2075354706,412269.4408050164,400966.0799887564,387866.0799887564,375199.0799887564,367961.0540823917,387506.9177466127,377110.9177466127,377800.7607616876,367841.2607616876,348560.95098365616,330716.4219895161,321867.9219895161,277489.01735555934,273080.7785033187,172170.70583210027,165904.23204679522,175062.68148215345,172013.35997342822,165656.85997342822,170410.42934653492,169101.8093771155,154088.05615020133,140179.35981829147,135756.0458990379,137766.8459482787,135403.35124710336,129362.18953139236,130883.91484298695,125713.55553037128,121220.8184240923,119005.01729372886,108169.43967227297,104684.93967227297,97518.74547493395,79135.13619075684,75309.11137063344,75313.31349772883,75959.3734427947,72938.50718282931,70289.50718282931,67664.50718282931,64369.332228037165,63945.0029908423,61243.09165627985,60231.079007863984,58009.579007863984,53225.46471404758,51811.900578568326,49758.900578568326,49200.7687337301,42867.26867999586,40264.37803687451,38492.37803687451,36770.87803687451,36007.32291577876,35157.428182414515,34717.97044626882,32976.06318034964,32634.265308090686,31885.882688138485,32170.50932319127,30811.50932319127,29328.92752279703,29132.05999887069,27909.55999887069,26699.55999887069,26295.845972312414,25124.845972312414,23960.845972312414,22420.82196403053,21369.82196403053,20820.50768722859,18780.98868586142,17382.02917648728,16484.02917648728,15630.029176487282,14972.998906021765,14148.998906021765,13326.998906021765,12956.88294525219,12467.854770900274,12563.943068640414,11799.943068640414,11093.943068640414,10387.943068640414,9755.876693225417,9140.376693225417,8682.911428789888,8189.231648482173,7625.731648482173,7077.3755453114945,7283.227841114274,6969.001202824972,6493.501202824972,6648.326961708999,6465.977621970253,6348.949187258726,5925.949187258726,5529.949187258726,4899.0557812752795,4542.0557812752795,4207.0557812752795,3937.2900618919525,3703.1276524305786,3391.6276524305786,3266.191747008067,2993.191747008067,2733.191747008067,2476.191747008067,2237.077340551371,2050.7306353816007,1830.2306353816007,1616.2306353816007,1403.7306353816007,1202.7306353816007,1004.7306353816007,820.0771830043798,638.0771830043798,493.57718300437983,382.07718300437983,276.57718300437983,193.07718300437983,121.49999999999999,45.5,10.000000000000002,0.0,11,124
4152777.8129582745,4807630.925235142,5121919.647904804,4877190.651469967,3314289.4735399755,4031758.197399074,4062361.562531384,3999517.1387571096,779475.9149180877,585677.0190649149,616272.9447845281,578889.2913723815,538810.4369417941,679729.9909125394,685248.2415940543,688035.6781176126,711145.7240196749,716275.3759156698,717233.501700312,717544.2224746158,668037.6161950547,635219.8781536382,630684.290647183,619733.0551300285,459026.0278539403,442908.0278539403,426975.5278539403,427026.2807191092,407095.2849778921,454117.7062359669,441257.2062359669,405188.8650584648,346872.9532563411,333881.39720922854,333096.1460623876,312564.4132074164,302639.37390638184,305734.28994590655,265329.11437717837,255251.11437717837,246437.80736414916,233275.18438109287,229409.8333513465,211669.06469771801,214367.4823368626,206093.9403341524,197939.9403341524,185481.2674888079,177525.2674888079,171906.23346683948,166304.88964342853,167950.59876377654,162704.87841891238,155544.54007600108,149377.04007600108,140123.5957420868,134885.49761123513,126156.61259612706,126700.69306399273,124126.5364263807,118758.5364263807,117772.262532912,116273.13186502151,116487.26044114961,112707.01720284372,108245.01720284372,103906.01720284372,109304.59278924689,107953.73821068282,104005.73821068282,101216.3291374509,97627.3291374509,96970.48475948427,93546.48475948427,92454.5064710164,89164.0064710164,89234.36272202768,84862.49043484607,81902.43830540344,81120.2636059007,78137.2636059007,75245.2636059007,76314.93796983379,73887.74776417066,70338.85902375355,66970.3529643263,64526.35296432631,62092.35296432631,57500.92281919701,57300.78779152682,55014.28779152682,53088.95593419807,50949.45593419807,49137.79141063034,50375.52412160773,46664.87410991257,43880.64691186693,42073.14691186693,40277.14691186693,38497.14691186693,38230.21809260884,36499.75303289831,34880.25303289831,35980.94888719226,33316.31787050484,31832.31787050484,30377.81787050484,28927.31787050484,28048.839472965876,25973.94675839915,24619.909386350795,23231.409386350795,21843.909386350795,20246.60929913371,18904.60929913371,17584.019730646247,16326.019730646247,15181.519730646247,14058.519730646247,13327.721600545894,12307.221600545894,12311.20163406894,12514.488119626718,11545.488119626718,10600.988119626718,9878.747299143017,8965.747299143017,8191.247299143017,7262.471374961212,6602.971374961212,5956.971374961212,5650.940283150796,5143.90422951058,4576.40422951058,4055.40422951058,3579.90422951058,3106.40422951058,2749.0651224463872,2314.5651224463872,1770.9912693936578,1430.4912693936578,1070.8603579272458,903.9180815361743,680.4180815361743,523.0,341.5,217.5,110.5,43.50000000000001,0.0,5,126
1.0799792355674684E7,5363061.640444659,6177321.763856149,6066542.391805446,5688916.310632509,5887429.074364347,6240482.181430124,5609956.753433134,5580374.740555914,5022746.418599526,4510932.442245798,4412671.923360077,3331928.6948117525,3406279.4034560914,3349638.4034560914,3276203.5697398423,3184649.87822675,3220982.3466057614,3261119.374718488,2886845.1678457917,1309638.2227074006,1250066.2588807077,1193795.1358935102,994212.1865719362,965856.3471376537,957416.5635882465,938496.6497334562,565191.7773213851,525128.3337045294,525119.3554909653,418166.9876228855,416962.36385382083,402042.86385382083,387970.36385382083,376490.59050217253,363586.59050217253,422223.62417463516,431148.3757393883,427727.25782202184,415901.75782202184,410666.4316451015,399081.4316451015,308542.84899401065,302384.77339473163,291417.27339473163,295569.0013578181,285823.5013578181,276143.0013578181,259770.41016301524,252481.65510435426,270814.74496237474,267548.92776464776,262683.043320567,253789.20122560952,247052.98731166267,230042.63913013463,222435.13913013463,215738.77505405867,212617.33160307482,206219.33160307482,138171.17109494068,133249.37296147866,133328.92278246145,127807.42829782596,119464.21955870047,115270.4042291336,109371.30048649813,105701.75194863933,102460.17437362962,99112.34989384825,97250.15936966216,95876.4762453371,97051.02850486727,94844.86371286685,93616.20650879611,90081.20650879611,85924.89784938836,82312.64509343104,79593.36019854707,85945.00624059915,82698.00624059915,79462.50624059915,77440.26374972348,74344.26374972348,70648.98242182599,67719.80588757733,65270.805887577335,63294.790670957584,57623.73248225497,55329.73248225497,53418.731734113186,51200.231734113186,51459.38474197298,49261.88474197298,47814.5986870103,45807.5986870103,44532.82626023055,43176.242385186444,41422.242385186444,29070.40298175947,28273.312679831608,26665.812679831608,25902.043306285166,24458.043306285166,23431.457193580656,22211.858770090897,20807.858770090897,20251.643574399386,19165.904175981195,18046.904175981195,16933.404175981195,15862.904175981195,15253.39466472705,13888.509705734708,12893.009705734708,11934.009705734708,11332.395927877631,10489.895927877631,9648.395927877631,8822.395927877631,8029.395927877632,7252.895927877632,6565.395927877632,5915.895927877632,5226.203849106053,4582.203849106053,4329.7658376967665,4005.9681337418265,3492.4681337418265,2992.4681337418265,2682.6435853275084,2310.9503229129245,1944.9503229129245,1595.9503229129245,1232.5238111604394,955.5238111604393,859.4985069739798,638.7393831849308,402.96554376534436,296.46554376534436,378.07977987466563,299.07977987466563,191.94545201787798,70.25621359191658,48.75621359191658,26.402165167073484,12.402165167073482,5.0,1.4999999999999998,0.0,20,114
6306267.862791285,4170171.546147255,6996807.505705785,5886905.3199418895,3225707.7230203645,2493345.9685745817,2347906.402584157,2607598.1311801355,2654276.705152776,2584139.732138486,2156703.673391495,2766858.9287412353,2478701.8767105746,2345278.2908223225,1889478.8640638115,1915661.4067040759,1939286.6579720757,1933442.2403669942,1863243.7357104425,1376315.8264337853,1381264.0038915907,1331967.6549377218,1258248.750161417,1212742.250161417,1176577.7728389252,1191131.36396958,1187947.096419059,1158661.7681067467,1153888.4192647745,1103689.5120966085,858967.0083302502,867110.0715937132,833730.6538944065,843758.9852406124,836230.0347308678,804691.0347308678,797613.3386276825,757402.082413179,732542.723418464,702961.723418464,621073.5793485126,598377.4915812855,704179.5128223669,716270.6951953464,692255.1951953464,667915.2781917283,646009.2781917283,624127.7781917283,590407.9795101508,508695.1687417078,490883.9550166659,498106.09767308587,471187.760327906,454613.260327906,444028.9630394044,428351.9630394044,413364.9630394044,402184.590181509,387642.590181509,384391.2267030566,371104.2267030566,360760.38111501205,346906.73983959656,331979.3709334427,281406.6909012706,258433.98834196775,244908.1198620954,232923.1198620954,227387.50954655575,216550.00954655575,221807.38496053522,221281.60177880607,211615.37420147532,207155.1752420509,201504.56308322688,203050.6790176656,195475.6378914686,197850.62791436404,189715.12791436404,182033.62791436404,174575.12791436404,167105.56384573362,161173.8598125259,154157.39038429994,147825.3979376821,145253.70815970964,142547.32236007467,143812.1966947693,137478.4289486166,131472.4289486166,134663.74443535806,129187.68929607292,123865.68430899631,118536.68430899631,109100.19575100738,105932.45891397295,107024.56972143431,102695.36239482803,97855.36239482803,93157.86239482803,88494.36239482803,84319.74175528788,80151.24175528788,76044.74175528788,72089.74175528788,68255.74175528788,62418.096545376444,59011.4921400187,57261.69745676941,54009.69745676941,52414.26753315673,49353.76753315673,46484.26753315673,44598.23010142959,42236.5414016252,40660.54131506656,40268.04648121335,37785.04648121335,35310.04648121335,34998.846391533334,32654.346391533334,29944.491905226023,30147.49312029148,27861.99312029148,25657.99312029148,23551.49312029148,21470.99312029148,19663.49312029148,17899.99312029148,16187.49312029148,14481.99312029148,13060.49312029148,11639.99312029148,10278.364343112746,8976.364343112746,8023.689154193504,6896.189154193504,6837.0,5729.5,4711.5,3978.5,3269.0,2565.5,1876.0,1325.0,874.5,468.0,90.00000000000001,0.0,0.0,5,127
7755333.858296672,5728733.446855936,4476068.091895485,4505034.86121189,3005240.224243458,2943885.498077562,2932623.000924067,2638977.2547009597,2840519.019554231,3348441.0326318545,1297611.7785437142,1221272.8210634545,1175649.333855543,1005002.4139168238,944498.9139168238,943485.2768013272,965422.845352047,1030491.6930362078,949323.3207597802,916646.7613235416,858705.6828751032,854514.9942050077,882105.5439819496,852998.8322999444,890171.964871712,885852.0397478697,889106.8653665459,856173.8653665459,839323.5013891357,818847.8221144887,781572.8085139722,734817.6357187455,691877.6192124276,662806.2835141789,671097.4402495788,649950.4225614767,626303.7104268923,600186.2375425092,583047.5491470085,544535.9868067034,776135.6964679124,758544.5412922108,703200.2272021179,681821.7272021179,492905.73100304784,472475.73100304784,468209.8777459368,452120.6682454484,436809.997570112,431281.18787470605,428743.3931181229,424199.4894972442,411042.64741837676,395427.01773592125,399690.356301832,374399.27621492615,360229.77621492615,346679.77621492615,344493.63366066926,336744.4608678802,324463.9608678802,312304.9608678802,300192.9608678802,297186.3829350196,307561.2332194292,296494.7332194292,283994.9399954688,273872.4399954688,275752.703495782,266460.703495782,270123.63365641184,280600.40875990724,263282.64013025386,255131.14013025383,250067.59646542172,244030.60409705335,195568.95817930828,185660.71962942855,180065.69332825564,173419.99445124491,166351.6349396103,158957.6349396103,151579.1349396103,144884.51063891366,133192.32682793215,126805.82682793216,122205.01455229797,116551.51455229797,110934.01455229797,111599.7161211086,106293.2161211086,105584.67692356894,105980.41368933393,101321.41368933393,94200.65595898629,93906.52222003613,93295.87385189245,89829.27148974045,85972.77148974045,82347.12378380887,78730.12378380887,73425.53121301674,69857.53121301674,66464.03121301674,63090.531213016744,61024.699571489844,58224.00189907895,56202.15783065916,53128.15783065916,57486.67181843159,54521.17181843159,51581.67181843159,49180.19455717895,47124.95334136035,44392.45334136035,41750.45334136035,39567.53408705834,37159.03408705834,34843.53408705834,32552.03408705834,28046.520236738193,27317.863424643798,25633.863424643798,23954.863424643798,22947.61981835755,19055.764108128977,17473.529344488918,16010.029344488916,14586.529344488916,13227.029344488916,11937.029344488916,10722.45784415424,9492.95784415424,8290.45784415424,7149.957844154241,6022.957844154241,4934.457844154241,3870.457844154241,3001.957844154241,2230.957844154241,2308.0799563787423,1958.2718337136614,1573.7718337136614,1200.2718337136614,852.2718337136614,538.7718337136613,351.8593506103082,244.00000000000003,115.5,0.0,12,125
