20,bestK,time(nanoTime/TIMER_DIVISOR)
79.47459222211037,20,387653988
51.151905242765636,20,285762469
52.78427196094782,20,154627377
55.76990854406876,20,132148234
60.8749721800469,20,122319486
55.12147956508023,20,129014526
46.18247689465208,20,119129680
68.60368581458093,20,118099313
53.09122222818138,20,118330925
74.00473450565184,20,122601353
66.60130441489291,20,118744476
60.791056527015485,20,112150029
40.496833157861985,20,113845100
66.03697161156293,20,107004488
46.43180576978492,20,109864257
53.9069728697666,20,115596249
54.1180603505166,20,123070897
44.58696816565789,20,111454724
48.842896639301436,20,155632917
46.414616764579634,20,113204047
65.71907059572614,20,125233758
65.84274781816015,20,117939758
60.86258901450212,20,131055536
55.071875445678145,20,122540839
56.559197631527155,20,111035700
59.793365680415064,20,113818860
67.43555983618215,20,121990311
67.0348733388622,20,108628560
53.914224107865266,20,113291796
50.186235016355894,20,108226194
59.44138307834573,20,110618902
62.59305369409525,20,115206420
68.39653241618132,20,121444149
57.777026503995685,20,110515197
64.07684817734064,20,121618907
50.30917175887604,20,109131954
63.01880356860371,20,154862915
58.43408228536211,20,114311870
74.48388859000511,20,113617080
52.62123470736256,20,111519271
74.74869625086146,20,116481234
44.1838129992689,20,117214168
61.51336886175777,20,106031128
68.7736633382498,20,117101673
58.621375065418846,20,114590360
59.46642190802134,20,115885339
50.4287960125547,20,111256411
58.53850418367283,20,113770958
57.57768315450298,20,110569501
52.84973602049105,20,108648424
60.589280313426826,20,112692077
59.634251197804154,20,115788982
49.730920834988865,20,112097205
72.24219141943115,20,114115270
57.11370858497615,20,112742297
60.411616704062766,20,148364516
65.3126721076158,20,122557749
56.1528786444359,20,106656438
58.84290036092332,20,120349074
74.08966545344971,20,107946673
59.11737274967309,20,121419310
67.06555496771622,20,111884043
54.62067085204143,20,110000109
61.11737748880483,20,113644992
42.71156012367725,20,115582903
58.985867707707285,20,110544447
51.37762008804729,20,126528064
63.17204555702334,20,110601823
43.21678820611181,20,110745248
50.72881816543084,20,116626038
69.22911717479647,20,115450693
47.61860255694864,20,111960278
52.033245238272954,20,116378584
55.07698212475004,20,115936171
61.77385884799974,20,113007221
60.31112155608603,20,116102828
59.33804870550867,20,109740246
67.12264582220283,20,113497216
46.49311910599152,20,111226732
43.818866286993995,20,112683237
56.45019669368223,20,114918956
50.74473088070156,20,113407288
60.890714613228894,20,109576716
49.0526752462361,20,112135022
50.515392478837555,20,116682816
59.842329666547876,20,111723760
61.03666169346457,20,113870701
67.36067041364468,20,110957978
62.12427919012812,20,115892604
52.27863944508587,20,115228947
55.633427331999705,20,113787459
54.727627037863456,20,114430675
55.108622436984014,20,109238071
69.20669393109509,20,110198769
60.46875592659846,20,113953969
43.26463000494454,20,112230167
51.33043929288143,20,114731662
42.750552120459034,20,112900674
49.52645269316834,20,119638947
51.19238897431552,20,112670833
39.978786738828816,20,116185375
54.91632518389791,20,119484964
71.1079838093302,20,114329078
56.01046200077768,20,117843138
49.24243958587606,20,110220543
52.95292485550624,20,113435301
59.00077353259007,20,113825165
57.48511412000145,20,111458041
68.43977213819325,20,114995887
71.76698932634076,20,112225640
55.41717938048775,20,116514500
36.74190379194052,20,115262587
59.16223895521029,20,115056934
58.507750751653326,20,107570539
67.954719093022,20,116118697
39.7995188440077,20,113530972
63.72892035376567,20,114111002
54.91327972947869,20,114034278
50.669235410438084,20,120966203
53.166076765444316,20,118254274
54.54581850197292,20,110646177
59.34207341202581,20,116718768
49.39606840181428,20,113776829
42.76710924199745,20,124358089
69.49547625985394,20,116291172
56.39593933529784,20,106469633
65.35191334937981,20,122256676
65.38315384328173,20,121281744
51.19046033167566,20,110903855
65.52632313666453,20,120320229
56.3438959370092,20,111830790
70.32483011874068,20,106582958
64.41966725284179,20,117221618
60.23521839190782,20,106935866
48.581921652821315,20,116147855
69.70289143316587,20,114298147
46.069380194251906,20,109821820
53.11905372407306,20,111615523
51.755292108063855,20,110756969
47.638932336365215,20,110375372
52.9682368611789,20,120340437
53.76677555843185,20,111551311
64.69421661597198,20,114746909
50.24810572832911,20,104951629
49.226016862758584,20,110961282
45.52922281120334,20,110255329
67.90108910779942,20,109900657
56.56882350746407,20,117831046
54.53743741390689,20,109448627
64.83797293491929,20,109603726
51.65210772072851,20,111738396
60.330393045641635,20,116360878
71.95466736640982,20,113301641
79.82908790988702,20,112192827
58.727023567405325,20,114881927
64.72076197251822,20,113754751
57.57329241616074,20,116302774
60.911124850947616,20,114022456
53.4700562917771,20,109789572
59.21690693792569,20,123032895
52.50350334684909,20,111342562
67.86643685823614,20,113194064
62.30631126267113,20,109264715
74.43809559017727,20,116110959
54.58037353990636,20,116240732
66.05590874288856,20,117607176
65.75127584887593,20,112393829
50.12949699153342,20,111977287
52.35447069627568,20,106294292
61.198167391527136,20,124735555
60.31869219833407,20,116767165
56.4499754681696,20,113124385
66.019205350208,20,114064851
64.42461943035704,20,116124840
44.47552029161462,20,117576466
44.70456936374709,20,119137553
70.75554062282116,20,116862876
62.18507327262961,20,111956943
66.77055258039856,20,117254754
67.4613440945688,20,116718083
63.924828544414744,20,121046425
67.96062947054459,20,120105394
58.86045799752728,20,117529540
48.76248828044059,20,116353038
56.14167745306268,20,109502311
65.69086989970415,20,115676528
69.94929130783017,20,107967047
61.97065877320155,20,118506712
59.741228217625675,20,119592440
80.44765222764218,20,108969591
73.73817392123391,20,109316711
60.99485134158668,20,120851499
63.903316364543606,20,132583520
71.32721635036484,20,123141130
49.358223351108855,20,119167916
53.52801091258732,20,113699241
57.88920548392887,20,115675270
40.93999878358163,20,112613402
63.38758877937015,20,105610104
56.35766596848228,20,116426709
54.928502082747386,20,112824607
59.110968768751874,20,109226986
42.49106249720512,20,115388564
56.7253309711089,20,118096085
56.88451795222176,20,110460441
60.155433812473156,20,126136749
53.50674849119581,20,107489277
55.10643225645683,20,117627403
53.66041989982949,20,114994902
78.41282666610304,20,117603162
59.754582189521884,20,111755678
58.43653165855907,20,113179806
45.41545345967083,20,115606806
60.404060933077666,20,113868696
46.75732931808869,20,107057415
42.37555164796915,20,116712941
62.478424822889956,20,119074996
75.31643261705153,20,133457219
49.50628339121878,20,114099105
50.1871041493371,20,116447407
120.44542193725182,20,123972773
70.77261771839662,20,112370178
